;Nome;Instituicao;Cidade;Estado;Periodo;Latitude;Longitude
0;#include <GURIAS> ;UERGS  Universidade Estadual do Rio Grande do Sul;Guaíba ;RS;2018;-301.130.731;-51.329.442
3;Adas;Instituto de Informática, Campus Samambaia  UFG;Goiânia ;GO;2017;-16.680.882;-492.532.691
4;Aprenda a programar jogando;Universidade Federal do Rio de Janeiro  Campus Macaé;Macaé ;RJ;2016;-223.712.958;-417.866.922
5;As PadaWoman: Elevando Vozes, Elevando Mulheres;CEFET-MG;Divinópolis ;MG;2023;-201.597.921;-448.739.341
7;BitGirls;UFMG  Belo Horizonte, MG;Belo Horizonte;MG;2018;-199.227.318;-439.450.948
8;BitRosa  Elas na Computação;IFRS  Campus Ibiruba;Ibirubá ;RS;2015;-28.630.161;-53.096.124
6;B-Lab Girls;B-Lab Learning Space;Passo Fundo ;RS;2018;-282.550.598;-523.966.606
9;Bytes Girls;UESPI  Universidade Estadual do Piauí  Campus Floriano;Florino ;PI;2019;-6.787.983.306.585.120;-43.040.503.313.825.200
10;Caliandras Digitais;Instituto Federal de Educação, Ciência e Tecnologia de Goiás  Campus Formosa;Formosa ;GO;2020;-155.492.443;-473.301.212
11;Catarinas;UDESC  Universidade do Estado de Santa Catarina;Joinville ;SC;2016;-263.044.898;-488.486.726
12;Cintia (Ciência e Tecnologia da Informação com Elas);Centro de Informática, Universidade Federal de Pernambuco;Recife ;PE;2018;-80.584.933;-348.848.193
13;CodificADAs;Universidade de São Paulo  USP;São Paulo;SP;2020;-23.561.264.257.657.100;-4.673.059.885.260.150
14;Coletivo Mirtha Lina (cMiN@);UFABC  Universidade Federal do ABC;Santo André ;SP;2018;-236.533.509;-465.279.039
15;Concat(gurias);Universidade Federal do Paraná  UFPR;Curitiba ;PR;2023;-254.295.963;-492.712.724
16;Conectadas;Universidade Estadual de Maringá;Maringá ;PR;2017;-23.425.269;-519.382.078
17;Corte de Lovelace;Cefor  Instituto Federal do Espírito Santo;Vila Velha ;ES;2017;-203.297.037;-402.920.174
18;Cunhantã Digital;UFAM / UEA / FUCAPI;Amazonas;AM;2015;-3.099.730.953.564.710;-59.975.723.131.212.600
19;DAMAS;Instituto Federal de Minas Gerais.;Ribeirão das Neves ;MG;2020;-197.672.898;-440.875.436
20;Delas para Elas;CEFET-MG  Campus Leopoldina;Leopoldina ;MG;2023;-215.314.282;-426.403.534
21;Developer Girls;Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul;Aquidauana ;MS;2017;-20.473.969;-557.821.375
22;Divas;IFCE Câmpus Aracati;Aracati ;CE;2015;-4.558.259;-37.767.894
23;Dorothy Piauí;Universidade Federal do Piauí  UFPI;Teresina ;PI;2023;-50.874.608;-428.049.571
24;Ei Mana!;Universidade Federal do Amazonas;Itacoatiara ;AM;2018;-31.477.898;-584.461.041
25;Elas Digitais IFSC;Instituto Federal de Santa Catarina;Gaspar ;SC;2019;-269.307.306;-489.566.824
27;Elas.net;CEFET-MG;Belo Horizonte ;MG;2018;-199.227.318;-439.450.948
26;Elas++ (elas mais mais);PUC Minas  Praça da Liberdade;Belo Horizonte ;MG;2020;-199.227.318;-439.450.948
28;Emíli@s  Armação em Bits;DAINF  UTFPR;Curitiba ;PR;2013;-254.295.963;-492.712.724
29;FaTech Girls;FATEC  SP;Bom Retiro, São Paulo ;SP;2017;-235.251.634;-466.381.644
30;ForGirls;IFPB  Instituto Federal de Educação Ciência e Tecnologia da Paraíba;Campina Grande ;PB;2019;-72.246.743;-358.771.292
31;Garotas Applicadas;Associação Efigênia Vidigal de Educação e Cultura  AVEC;Belo Horizonte ;MG;2019;-199.227.318;-439.450.948
32;Garotas Tech dos Sertões de Crateús;Universidade Federal do Ceará  Campus Crateús;Crateús ;CE;2019;-51.782.451;-406.696.545
33;GECET: Garotas nas Engenharias, Ciências Exatas e Tecnologias;Universidade Estadual Paulista  UNESP;Rosana ;SP;2020;-225.788.641;-530.552.246
34;Girls of Science;Instituto Federal do Sul de Minas  IFSULDEMINAS;Inconfidentes ;MG;2019;-223.168.866;-463.279.182
35;GIRLS POWER IN PROGRAMMING;Instituto Federal do Paraná;Palmas ;PR;2019;-26.483.868;-51.988.812
36;GRACE  Grupo de Alunas nas Ciências Exatas;Universidade de São Paulo  Instituto de Ciências Matemáticas e de Computação (ICMC);São Carlos ;SP;2018;-220.180.395;-47.891.154
37;GRACE USP- GaRotAs na Computação e Empreendedorismo;Universidade de São Paulo (USP)  campus Leste (Escola de Artes, Ciência e Humanidades  EACH);São Paulo ;SP;2017;-23.682.794.700.000.000;-46.716.998.204.286.000
38;Gurias da Comp;Universidade Federal de Pelotas;Pelotas;RS;2023;-317.699.736;-523.410.161
39;Gurias Digitais;Universidade Regional Integrada do Alto Uruguai e das Missões (URI);Santiago ;RS;2018;-29.189.675;-54.866.624
40;Gurias na Computação;Universidade Federal do Pampa (UNIPAMPA)  Câmpus Alegrete;Alegrete ;RS;2016;-29.790.166;-55.794.862
41;Igualdade STEM;Instituto Superior Técnico de Lisboa, LUDES (COPPE/UFRJ);Rio de Janeiro ;RJ;2020;-229.110.137;-432.093.727
2;Include <Girls>;Universidade Federal de Uberlândia (UFU);Uberlândia ;MG;2021;-189.188.041;-482.767.837
1;Include meninas;Universidade Federal Fluminense;Niterói ;RJ;2016;-228.884;-431.147
42;IT Girls  Garotas na Tecnologia da Informação;Universidade Federal da Paraíba  Câmpus IV;João Pessoa ;PB;2016;-71.215.981;-34.882.028
43;JUMI;Universidad de Medellín;Medellín, Antioquía, Colômbia;;2021;6.231.800.651.898.950;-7.560.980.686.256.760
44;Katie: saindo do buraco negro e impulsionando as meninas na computação;Instituto de Computação da Universidade Federal de Alagoas campus Maceió;Maceió ;AL;2019;-96.476.843;-357.339.264
45;Maia  Meninas Aprendendo Inteligência Artificial;Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul;Aquidauana ;MS;2018;-20.473.969;-557.821.375
46;Meninas Cientistas;Instituto Federal de Goiás;Uruaçu ;GO;2018;-145.244.164;-491.510.022
47;MENINAS DA GEOTECNOLOGIA;IFPA  Campus Castanhal;Belém ;PA;2019;-145.056;-484.682.453
48;Meninas de Sistemas;UFPA Campus Cametá;Cametá ;PA;2023;-2.242.949;-49.497.885
49;Meninas Digitais  UTFPR-CP;Universidade Tecnológica Federal do Paraná  Campus Cornélio Procópio;Cornélio Procópio ;PR;2023;-231.825.218;-506.499.263
50;Meninas Digitais de Rio Pomba;Instituto Federal do Sudeste de Minas Gerais  Campus Rio Pomba;Rio Pomba;MG;2019;-21.275;-43.178.889
51;Meninas Digitais do Norte Fluminense: as Goytatecs;Instituto Federal Fluminense;Campos dos Goytacazes ;RJ;2022;-217.546;-413.242
52;Meninas Digitais do Sudoeste da Bahia;Instituto Federal da Bahia (IFBA);Vitória da Conquista ;BA;2019;-148.567.487;-408.414.804
53;Meninas Digitais do Vale;Universidade Federal do Ceará  Campus de Russas;Russas ;CE;2018;-49.354.279;-379.783.838
54;Meninas Digitais Dourados  Heroínas Digitais;Universidade Federal da Grande Dourados (UFGD);Dourados ;MS;2018;-222.206.145;-54.812.208
55;Meninas Digitais IFMT Cuiabá;IFMT Campus Cuiabá;Cuiabá ;MT;2015;-155.986.686;-560.991.301
56;Meninas Digitais IFSULDEMINAS;Instituto Federal do Sul de Minas Gerais;Machado ;MG;2019;-216.762.861;-459.211.696
57;Meninas Digitais Mato Grosso;Instituto de Computação  UFMT Cuiabá;Cuiabá;MT;2015;-200.149.743;-43.230.776
58;Meninas Digitais na Baixada Fluminense;Universidade Federal Rural do Rio de Janeiro;Nova Iguaçu ;RJ;2019;-227.592.175;-434.508.728
59;Meninas Digitais na Computação  UNIJUI;UNIJUI;IJU�;RS;2019;-283.878.734;-539.201.692
60;Meninas Digitais na IENH;Faculdade IENH;Novo Hamburgo ;RS;2019;-296.905.705;-511.429.035
61;Meninas Digitais no Cerrado;Instituto Federal Goiano  Campus Ceres;Ceres ;GO;2016;-153.103.568;-496.032.054
62;Meninas Digitais Regional Bahia;UBFA;Salvador ;BA;2016;-129.822.499;-384.812.772
63;Meninas Digitais Tchê Missões;URI Campus de Santo Ângelo;Santo Ângelo ;RS;2016;-283.000.481;-542.669.971
64;Meninas Digitais UFJF;Universidade Federal de Juiz de Fora;Juiz de Fora ;MG;2022;-217.609.533;-433.501.129
65;Meninas Digitais UFSC;UFSC Campus Araranguá;Araranguá ;SC;2013;-289.348.832;-494.858.389
66;Meninas Digitais Vale do Itajaí;Universidade Regional de Blumenau (FURB);Blumenau ;SC;2018;-269.195.567;-490.658.025
67;Meninas High Tech;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul  Campus Feliz;Feliz ;RS;2019;-294.523.254;-513.069.785
68;Meninas Mais Mais;Universidade Federal de Viçosa Campus Rio Paranaíba;Rio Paranaíba ;MG;2014;-191.965.275;-462.411.395
69;Meninas na Ciência da Computação;Centro de Informática  UFPB;João Pessoa ;PB;2014;-71.215.981;-34.882.028
70;Meninas na Ciência IFB;Instituto Federal de Brasília;Brasília ;DF;2022;-157.934.036;-478.823.172
71;Meninas na Computação UNIFAP;Universidade Federal do Amapá;Macapá ;AP;2018;0.0401529;-510.569.588
72;Meninas na Programação;Instituto Federal de Ciência, Educação e Tecnologia de São Paulo  IFSP;Guarulhos;SP;2018;-234.675.941;-465.277.704
73;Meninas na Robótica;Cefet/RJ;Nova Iguaçu ;RJ;2015;-227.592.175;-434.508.728
74;Meninas Paidéguas;Universidade Federal do Pará;Belém e Castanhal ;PA;2019;-12.889.234;-479.532.731
75;Meninas Programadoras;Universidade de São Paulo;São Carlos ;SP;2021;-220.180.395;-47.891.154
76;Meninas Programadoras JF;Universidade Federal de Juiz de Fora  UFJF;Juiz de fora ;MG;2023;-217.609.533;-433.501.129
77;Meninas.comp  Computação Também é Coisa de Menina!;Departamento de Ciência da Computação da Universidade de Brasília;Brasília ;DF;2011;-157.934.036;-478.823.172
78;Mermãs Digitais;Instituto Federal de Educação, Ciência e Tecnologia do Maranhão;Imperatriz ;MA;2020;-55.269.279;-47.478.115
79;Metabotix;Instituto Federal de Goiás Campus Luziânia;Luziânia ;GO;2013;-162.535.456;-479.500.276
80;Min@sTech;Universidade Federal de Viçosa  UFV;Viçosa ;MG;2023;-207.538.586;-428.815.888
81;MinasCoders;Universidade Federal de Viçosa Campus Florestal;Florestal ;MG;2015;-198.878.705;-444.314.766
82;Minerv@s Digitais;UFRJ;Rio de Janeiro ;RJ;2018;-229.110.137;-432.093.727
83;Mininas na Ciência;Instituto Federal de Sergipe (IFS  Campus Propriá);Propriá;SE;2021;-10.212.427;-368.372.254
84;Mocinhas da Computação;Instituto Federal de Educação, Ciência e Tecnologia do Ceará (IFCE);Canindé e Baturité ;CE;2017;-4.353.061.058.164.120;-3.931.079.805.860.070
85;Mulheres na Computação UFERSA;Universidade Federal Rural do Semi Árido (UFERSA);Pau dos Ferros ;RN;2019;-61.124.964;-382.062.628
87;Pérolas Digitais;Universidade Federal do Oeste do Pará e Centro Acadêmico de Ciência da Computação;Santarém ;PA;2023;-2.438.489;-54.699.611
86;Paragobyte Girls;Instituto Federal de Educação, Ciência e Tecnologia do Pará  Campus Paragominas;Paragominas ;PA;2017;-299.564;-473.548.942
88;PROJETO ALICE;UNEMAT- Universidade do Estado de Mato Grosso  Campus Universitário Renê Barbour;Barra do Bugres ;MT;2019;-150.683.712;-571.853.688
89;Projeto de Extensão CODEGATAS;Universidade Federal do Espírito Santo;Alegre ;ES;2022;-207.625.787;-415.318.886
90;Projeto Lua;IFCE;Tianguá;CE;2019;-37.307.332;-410.004.019
91;PS4W  Programa Sabará for Women;Instituto Federal de Minas Gerais  Sabará;Sabará ;MG;2019;-198.900.372;-438.107.916
92;SIsters  Sororidade em Sistemas de Informação;Universidade Federal do Estado do Rio de Janeiro (UNIRIO);Rio de Janeiro ;RJ;2020;-229.110.137;-432.093.727
93;STEM para meninas;UFPE;Recife ;PE;2020;-80.584.933;-348.848.193
94;Techmanas;Universidade Federal do Pará;Tucuruí ;PA;2019;-3.766.334;-496.663.654
95;Techno Girls;Centro Universitário Una;Belo Horizonte ;MG;2018;-199.227.318;-439.450.948
96;Technovation Girls Brasil;Instituto Paramitas  Brasil;São Paulo ;SP;2008;-23.682.794.700.000.000;-46.716.998.204.286.000
97;TIChers;Universidade Tecnológica Federal do Paraná  campus Curitiba;Curitiba ;PR;2019;-254.295.963;-492.712.724
98;TWIST;PUC-Rio;Rio de Janeiro;RJ;2023;-229.110.137;-432.093.727
99;Valerinas;niversidade do Estado de Santa Catarina  UDESC  Campus Alto Vale;Ibirama;SC;2023;-270.537.021;-495.190.771
100;WoMakersCode;PUCRS, Fadergs, UFRJ, Estácio e InfNet;Rio de Janeiro;RJ;2015;-229.110.137;-432.093.727
